"","series","baker","baker_last_name","baker_age","baker_occupation","hometown","signature_bake_1","signature_bake_2","signature_bake_3","signature_bake_4","signature_bake_5","signature_bake_6","signature_bake_7","signature_bake_8","signature_bake_9","signature_bake_10","show_stopper_1","show_stopper_2","show_stopper_3","show_stopper_4","show_stopper_5","show_stopper_6","show_stopper_7","show_stopper_8","show_stopper_9","show_stopper_10","technical_1","technical_2","technical_3","technical_4","technical_5","technical_6","technical_7","technical_8","technical_9","technical_10","result_1","result_2","result_3","result_4","result_5","result_6","result_7","result_8","result_9","result_10"
"83",7,"Val","Stones",66,"Semi-retired, Substitute teacher","Yeovil","Mum's Orange and Lemon Drizzle","Sunday Treat Iced Ice Cream Cone Biscuits","Double Chocolate Cinnamon Twist Loaf","Mum's Chilli Yorkshire Puddings","Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls",NA,NA,NA,NA,NA,"Chocolate Sponge with Four Fruit Frosting","From Holland to New York via Yorkshire","""And They All Went Into The Ark To Get Out Of The Rain""","Orange Chocolate Churros","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels",NA,NA,NA,NA,NA,10,5,1,6,7,NA,NA,NA,NA,NA,"IN","IN","IN","IN","OUT",NA,NA,NA,NA,NA
"84",8,"Chris","Geiger",50,"Software developer","Bristol","Tropical Fresh Fruit Cake","Chocolate Chia Seed Biscuits with Whisky Caramel Filling",NA,NA,NA,NA,NA,NA,NA,NA,"'Raised Pork Pie and Egg Surprise' Cake","'The Great British Sail Off' Game",NA,NA,NA,NA,NA,NA,NA,NA,12,11,NA,NA,NA,NA,NA,NA,NA,NA,"IN","OUT",NA,NA,NA,NA,NA,NA,NA,NA
"85",8,"Yan","Tsou",46,"Laboratory research scientist","North London","Windfall Apple Crumble Cake","'Mrs. Marian's PB 'n' B' Biscuits","'Mrs P's' Masala Chai Spiced Teacakes","'Lil' Red's Ginger and Nuts' Millionaire Shortbreads","Mango Fruit Hat Steamed School Pudding","'πr2' Decorative Pies","Cannoli Cocktails",NA,NA,NA,"'Banana-ramen' Cake","'Adventures in Bakeland' Game","'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture","Animals of the Rainforest Caramel Cake","'Heart of a Hero' Trifle Terrine","Chequerboard Pie","Canadian-Style Sfogliatelle",NA,NA,NA,4,1,8,8,6,1,5,NA,NA,NA,"IN","IN","IN","IN","IN","IN","OUT",NA,NA,NA
"86",8,"Flo","Atkins",71,"Retired","Merseyside","Citrus Layer Cake","Gin Jam Butties","Cinnamon and Orange Teacakes",NA,NA,NA,NA,NA,NA,NA,"'One in a Melon' Cake","'Pick My Bones' Game","'Davy Jones' Locker' Bread Sculpture",NA,NA,NA,NA,NA,NA,NA,9,10,7,NA,NA,NA,NA,NA,NA,NA,"IN","IN","OUT",NA,NA,NA,NA,NA,NA,NA
"87",8,"James","Hillery",46,"Banker","Brentwood, Essex","Orange, Rhubarb & Ginger Crumble Cake","Rhubarb and Custard Whirls","Nordic Teacakes","'Windy City' Millionaire Shortbreads","Orange and Ginger Steamed School Pudding",NA,NA,NA,NA,NA,"'Mock-accino and Croissant' Cake","'Coppit' Game","'Owl in the Woods' Bread Sculpture","Nutty Caramel Cake","'The Missed Silver Jubilee' Trifle Terrine",NA,NA,NA,NA,NA,2,3,9,2,7,NA,NA,NA,NA,NA,"IN","IN","IN","IN","OUT",NA,NA,NA,NA,NA
"88",8,"Julia","Chernogorova",21,"Aviation Broker","Crawley, West Sussex","Courgette and Lemon Cake","Middle Eastern Delight Sandwich Biscuits","Earl Grey Dried Fruit Teacakes","Pecan Salted Caramel Millionaire Shortbreads","Orange & Treacle Steamed School Pudding","'Pies from the Tree' Decorative Pies",NA,NA,NA,NA,"'Russian Doll' Cake","'A British Baking' Game","'The Snail Under a Mushroom' Bread Sculpture","Poppy Seed Caramel Cake","'Opulent Ornament' Trifle Terrine","'Special Occasion' Pie",NA,NA,NA,NA,3,4,2,9,3,7,NA,NA,NA,NA,"IN","IN","STAR BAKER","IN","IN","OUT",NA,NA,NA,NA
"89",8,"Kate","Lyon",29,"Health and safety inspector","Merseyside","Moroccan Strawberry and Rose Cake","Coconut Seashells for a Titanic Afternoon Tea","Blueberry Buns","Salted Bay Caramel Millionaire Shortbreads","'Mr Darcy's Steamy Lake Scene' Steamed School Pudding","'Vegetarian Pie Faces' Decorative Pies","'Happy Hour' Cocktail Cannoli","Burrito Bedfordshire Clangers","Bellini and Valencian Orange Choux Buns","Roman Spelt, Coconut Kala Chana and Flower Breads","'Chocolate Terrarium' Cake","'Jungle' Game","'Kraken' Bread Sculpture","Sticky Toffee Apple Caramel Cake","'My Great Great Nan's' Raspberry Trifle Terrine","Potato Curry Pie with Mango & Chilli Glaze","'Flavour Fusion' Sfogliatelle","'Liver Building Turret' Savoy Cake","'Rainbow' Meringue Centrepiece","White Chocolate, Yuzu and Lychee Entremet",1,8,10,6,8,5,6,2,4,3,"IN","IN","IN","STAR BAKER","IN","IN","IN","IN","IN","Runner-up"
"90",8,"Liam","Charles",19,"Student","North London","Apple and Almond Crumble Maple Loaf","Coffee Malted Pecan Shorties","Jamaican Spiced Teacakes","Salted Peanut Butter Millionaire Shortbreads","Cherries & Lemons that are 'Baked Well'","'Standard FC' Decorative Pies","'Just Doing Me' Cannoli","'Take Out' Bedfordshire Clangers",NA,NA,"'Stackin' Sunday' Cake","'Classroom Classics' Game","'Kneadapolitan' Bread Sculpture","White Layered Ginger Caramel Cake","'Cheers Lads' Trifle Terrine","'Nan's Sunday Dinner' Pie","'Morning Delivery' Sfogliatelle","'Fort Wizardore' Savoy Cake",NA,NA,8,7,5,3,2,4,2,5,NA,NA,"IN","IN","IN","IN","IN","STAR BAKER","IN","OUT",NA,NA
"91",8,"Peter","Abatan",52,"IT programme manager","Southend, Essex","Coconut Cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,"'Bread on a Breadboard' Cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OUT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",8,"Sophie","Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey","Pineapple and Coconut Sandwich Cake","Lemon Limoncino Sandwich Biscuits","Tagine Teacakes","Jaffa Millionaire Shortbreads","Ginger, Fig and Honey Steamed School Pudding","'The Four Seasons' Decorative Pies","'Classics with a Twist' Cannoli","Char Siu & Banana Praline Bedfordshire Clangers","Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns","Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche","'Champagne Bottle and Bucket' Cake","'Snakes and Ladders' Game","'Picnic Basket' Bread Sculpture","Bird's Nest Caramel Cake","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine","Game Pie with Glazed Forest Fruits","'Classics' Sfogliatelle","Citrus with Green Apple Croquembouche Savoy Cake","'Tutu with Opera Filling' Meringue Centrepiece","'Ode to the Honey Bee' Entremet",5,2,6,4,1,2,3,4,1,2,"IN","IN","IN","IN","STAR BAKER","IN","IN","IN","STAR BAKER","WINNER"
